Record_Number,Region,RESIDENCE_TYPE,Family_Composition,sex,age,Marital_Status,student,Country_Of_Birth,health,Ethnic_Group,religion,Economic_Activity,Occupation,industry,Hours_Worked_Per_Week,Approximate_Social_Grade
78,S92000003,P,1,2,1,1,1,2,1,1,2,X,X,X,X,X
79,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
80,S92000003,P,1,2,8,2,2,1,2,1,2,5,3,11,X,2
81,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
82,S92000003,P,1,1,3,1,2,1,2,1,1,8,7,12,X,2
84,S92000003,P,1,1,6,2,2,1,2,1,2,1,6,11,3,3
85,S92000003,P,1,1,8,2,2,1,3,1,1,5,5,13,X,3
86,S92000003,P,1,1,2,1,1,2,1,1,2,6,X,X,X,1
89,S92000003,P,1,1,3,2,1,1,2,1,2,6,2,10,X,2
95,S92000003,P,1,2,5,2,2,1,1,1,2,1,4,10,2,3
97,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
98,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
100,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
102,S92000003,P,1,2,7,2,2,1,2,1,9,5,9,11,X,3
113,S92000003,P,1,1,5,2,2,1,1,1,9,2,5,1,4,3
115,S92000003,P,5,2,8,1,2,1,3,1,2,2,5,1,4,3
117,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
119,S92000003,P,1,2,5,2,2,1,1,1,2,1,6,10,2,2
123,S92000003,P,1,2,3,2,2,1,2,1,2,1,4,10,2,3
125,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
127,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
130,S92000003,P,1,2,4,2,2,1,1,1,2,1,2,10,2,3
132,S92000003,P,1,2,3,2,2,1,1,1,1,1,6,13,2,4
135,S92000003,P,2,1,5,1,2,1,1,1,9,1,2,10,3,1
137,S92000003,P,1,2,4,2,2,1,1,1,2,1,6,11,2,2
139,S92000003,P,1,1,4,2,2,1,1,1,1,1,2,10,3,1
140,S92000003,P,0,2,8,5,2,1,3,1,2,5,5,10,X,4
141,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
145,S92000003,P,0,2,7,4,2,1,5,1,2,5,6,11,X,4
150,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
151,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
153,S92000003,P,1,1,1,1,1,2,2,1,2,X,X,X,X,X
155,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
159,S92000003,P,2,2,4,3,2,1,1,1,1,1,6,11,2,2
161,S92000003,P,2,1,1,1,2,1,2,1,1,X,X,X,X,X
163,S92000003,P,2,2,4,1,2,1,4,1,1,1,4,11,3,2
164,S92000003,P,1,2,2,1,1,1,2,1,1,4,X,X,X,2
165,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
166,S92000003,P,4,1,1,1,2,1,1,1,9,X,X,X,X,X
167,S92000003,P,1,1,7,2,2,1,2,1,9,5,1,12,X,2
168,S92000003,P,1,2,2,1,1,1,1,1,8,6,X,X,X,2
169,S92000003,P,0,2,8,5,2,1,3,1,2,5,2,11,X,2
171,S92000003,P,0,1,8,5,2,1,2,1,2,5,3,10,X,1
172,S92000003,P,0,2,2,1,2,1,1,1,1,3,6,11,X,4
175,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
177,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
179,S92000003,P,1,2,5,2,2,1,1,1,2,3,1,11,X,3
181,S92000003,P,1,1,4,2,2,1,2,1,2,1,6,11,3,4
183,S92000003,P,2,2,3,1,2,1,2,1,1,1,3,11,3,2
184,S92000003,P,1,2,4,2,2,2,2,3,1,1,2,11,2,3
185,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
187,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
189,S92000003,P,2,1,5,3,2,1,2,1,1,1,3,11,3,2
190,S92000003,P,2,2,2,1,2,1,2,1,1,3,X,X,X,2
192,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,4
193,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,4
195,S92000003,P,1,1,2,1,2,1,1,1,2,1,5,11,3,4
196,S92000003,P,4,1,1,1,2,1,2,1,1,X,X,X,X,X
197,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
198,S92000003,P,1,2,5,2,2,1,5,1,1,8,6,11,X,3
199,S92000003,P,1,2,2,1,1,1,2,1,1,4,X,X,X,4
202,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
204,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
206,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
209,S92000003,P,1,2,3,2,2,1,1,1,2,1,4,10,3,2
211,S92000003,P,2,1,5,1,2,1,2,1,1,1,5,11,2,4
213,S92000003,P,1,1,6,2,2,2,1,1,2,2,6,13,3,3
214,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
216,S92000003,P,1,2,3,2,2,1,2,1,1,7,9,10,X,3
220,S92000003,P,4,1,1,1,1,1,1,5,1,X,X,X,X,X
221,S92000003,P,1,1,6,2,2,1,2,1,2,1,2,10,2,1
224,S92000003,P,1,1,2,1,1,1,1,1,2,4,3,10,2,3
225,S92000003,P,4,2,4,1,2,1,4,1,1,8,X,X,X,4
227,S92000003,P,0,1,6,4,2,1,3,1,1,5,3,12,X,2
228,S92000003,P,1,2,3,2,2,1,1,1,2,1,4,10,3,4
230,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,2
244,S92000003,P,1,2,5,2,2,1,1,1,2,1,2,11,3,2
245,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
246,S92000003,P,3,1,4,1,2,1,1,1,1,1,5,1,3,2
248,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
250,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
252,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
253,S92000003,P,1,2,6,2,2,1,2,1,1,5,2,10,X,1
254,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
255,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
256,S92000003,P,1,2,7,2,2,1,3,1,2,5,4,11,X,1
259,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
261,S92000003,C,X,2,8,5,2,1,3,1,2,5,X,X,X,X
263,S92000003,P,0,1,5,1,2,1,3,1,2,8,9,1,X,4
265,S92000003,P,1,2,1,1,2,1,2,1,2,X,X,X,X,X
266,S92000003,P,1,2,8,2,2,1,4,1,2,5,2,11,X,2
268,S92000003,P,1,2,7,2,2,1,2,1,2,5,9,11,X,4
274,S92000003,P,1,2,8,2,2,1,2,1,2,5,2,10,X,4
277,S92000003,P,2,1,1,1,2,1,1,1,2,X,X,X,X,X
279,S92000003,P,2,1,1,1,1,1,1,1,2,X,X,X,X,X
280,S92000003,P,1,2,8,2,2,1,2,1,2,5,4,13,X,2
281,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
286,S92000003,P,2,2,3,1,2,1,1,1,2,1,2,10,3,1
287,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
289,S92000003,P,1,2,5,2,2,1,3,1,1,1,6,11,2,3
291,S92000003,P,1,2,5,2,2,1,2,1,2,9,1,11,X,1
293,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
296,S92000003,P,4,1,1,1,1,1,2,1,1,X,X,X,X,X
297,S92000003,P,2,2,5,4,2,1,1,1,2,2,6,13,2,3
299,S92000003,P,1,1,6,2,2,1,2,1,2,2,5,1,4,3
303,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
304,S92000003,P,1,1,7,2,2,1,2,1,1,1,2,10,2,1
306,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
308,S92000003,P,1,2,6,2,2,1,2,1,1,2,5,10,2,3
309,S92000003,P,2,2,3,1,2,1,1,1,2,1,6,11,1,3
310,S92000003,P,1,2,6,2,2,1,2,1,1,5,2,10,X,3
312,S92000003,P,0,2,5,3,2,1,1,1,2,1,3,13,2,2
313,S92000003,P,2,1,3,1,2,1,1,1,1,1,2,10,3,1
317,S92000003,P,1,1,6,2,2,1,3,1,2,2,5,1,4,3
318,S92000003,P,4,2,4,1,2,1,1,1,2,1,6,10,2,3
319,S92000003,P,0,2,6,1,2,2,2,1,2,1,2,10,1,1
321,S92000003,P,0,2,8,5,2,1,3,1,2,5,6,11,X,4
322,S92000003,P,1,2,2,1,2,1,1,1,1,2,3,12,4,1
325,S92000003,P,1,2,7,2,2,1,2,1,2,5,2,11,X,1
326,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
328,S92000003,P,1,1,2,1,1,1,1,1,2,4,5,1,2,1
329,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
330,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
331,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
332,S92000003,P,1,2,6,2,2,1,1,1,2,5,6,11,X,2
334,S92000003,P,0,2,8,5,2,2,1,1,2,5,2,10,X,1
336,S92000003,P,1,1,5,2,2,1,2,1,2,1,9,11,2,2
338,S92000003,P,0,2,7,5,2,1,1,1,1,5,4,1,X,2
339,S92000003,P,1,1,7,2,2,1,2,1,2,5,5,1,X,4
340,S92000003,P,1,1,4,2,2,1,1,1,9,1,5,1,3,3
341,S92000003,P,2,2,1,1,2,1,1,1,2,X,X,X,X,X
344,S92000003,P,1,1,2,1,2,1,1,1,2,1,5,1,4,3
351,S92000003,P,1,2,5,2,2,1,2,1,2,1,6,10,2,3
352,S92000003,P,1,2,5,2,2,1,1,1,2,1,6,10,2,2
353,S92000003,P,1,2,5,2,2,1,1,1,2,1,2,11,2,3
355,S92000003,P,1,2,7,2,2,1,2,1,1,5,5,11,X,1
357,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
358,S92000003,P,1,2,1,1,1,2,1,1,1,X,X,X,X,X
359,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
360,S92000003,P,4,2,4,4,2,1,1,1,1,1,2,11,3,1
361,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
365,S92000003,P,1,2,5,2,2,1,1,1,2,1,6,10,3,1
367,S92000003,P,1,2,2,1,2,1,1,1,1,1,6,11,3,4
368,S92000003,P,0,2,8,5,2,1,3,1,2,5,2,10,X,1
369,S92000003,P,1,2,6,2,2,1,2,1,1,1,4,11,2,2
371,S92000003,P,0,1,4,1,2,1,1,1,2,1,2,11,3,2
372,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,2
375,S92000003,P,1,2,4,2,2,1,1,1,1,2,2,11,3,1
378,S92000003,P,2,1,1,1,1,1,1,1,2,X,X,X,X,X
379,S92000003,P,4,2,8,5,2,1,5,1,2,5,9,12,X,4
381,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
383,S92000003,P,1,2,7,2,2,1,1,1,2,1,3,11,1,2
384,S92000003,P,1,2,5,2,2,1,2,1,2,1,2,10,2,1
385,S92000003,P,1,2,7,2,2,1,3,1,2,5,4,11,X,3
387,S92000003,P,1,2,4,2,2,1,2,1,1,7,4,12,X,2
388,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
392,S92000003,P,2,1,1,1,2,1,1,1,2,X,X,X,X,X
393,S92000003,P,0,2,6,4,2,1,2,1,1,1,6,11,2,4
395,S92000003,P,1,2,4,2,2,1,2,1,9,1,2,11,3,2
396,S92000003,P,1,1,4,2,2,1,1,1,2,1,9,1,3,4
397,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
398,S92000003,P,0,2,6,4,2,1,1,1,2,1,2,10,3,1
399,S92000003,P,2,2,3,1,2,1,1,1,2,7,2,11,X,3
400,S92000003,P,0,2,8,5,2,1,4,1,2,5,X,X,X,4
401,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
405,S92000003,P,1,1,2,1,1,1,1,1,1,6,X,X,X,3
407,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
408,S92000003,P,1,1,1,1,1,2,1,3,6,X,X,X,X,X
409,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
410,S92000003,P,1,2,2,2,2,1,2,1,2,1,6,13,2,3
413,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
416,S92000003,P,4,2,3,1,2,1,1,1,1,2,3,13,1,4
417,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
418,S92000003,P,1,2,4,2,2,1,1,1,1,1,6,10,3,2
419,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
420,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
423,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
425,S92000003,P,1,2,7,2,2,1,3,1,2,5,4,11,X,2
426,S92000003,P,1,2,7,2,2,1,1,1,2,5,2,10,X,1
429,S92000003,P,1,2,7,2,2,1,2,1,2,5,2,10,X,1
430,S92000003,P,1,2,2,1,1,1,1,1,1,6,X,X,X,2
431,S92000003,P,1,1,6,2,2,1,1,1,2,2,5,13,2,3
433,S92000003,P,1,1,5,2,2,1,1,1,1,1,2,10,3,1
435,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
438,S92000003,P,1,1,7,2,2,1,2,1,2,5,2,10,X,1
439,S92000003,P,1,1,2,1,1,1,1,1,1,6,X,X,X,2
440,S92000003,P,0,2,8,5,2,1,4,1,2,5,9,11,X,4
442,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
443,S92000003,P,1,2,6,2,2,1,2,1,2,5,6,11,X,3
446,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
449,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
450,S92000003,P,0,2,7,5,2,1,2,1,2,5,9,11,X,4
451,S92000003,P,0,2,5,1,2,1,4,1,2,1,6,11,3,3
455,S92000003,P,0,2,8,5,2,1,1,1,1,5,4,11,X,2
456,S92000003,P,1,1,5,2,2,1,1,1,1,1,2,10,3,1
459,S92000003,P,0,2,3,1,2,1,2,1,2,1,6,13,3,3
464,S92000003,P,4,2,2,1,2,1,2,1,1,1,6,11,2,4
465,S92000003,P,2,2,3,1,2,1,2,1,2,1,3,10,2,3
466,S92000003,P,0,2,8,5,2,1,3,1,2,5,9,10,X,4
467,S92000003,P,4,2,8,5,2,1,2,1,2,2,9,1,3,4
469,S92000003,P,1,1,7,2,2,1,2,1,2,5,2,10,X,1
470,S92000003,P,2,2,4,4,2,1,1,1,2,1,9,10,2,3
472,S92000003,P,2,2,4,4,2,1,3,1,1,1,6,10,2,4
473,S92000003,P,2,2,1,1,2,1,1,1,2,X,X,X,X,X
474,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
476,S92000003,P,0,2,7,5,2,1,2,1,2,1,6,11,3,3
477,S92000003,P,1,2,4,2,2,1,2,1,1,1,4,12,2,4
478,S92000003,P,4,2,1,1,2,1,1,1,2,X,X,X,X,X
479,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
480,S92000003,P,4,2,1,1,2,1,2,1,9,X,X,X,X,X
481,S92000003,P,2,1,1,1,1,1,2,1,2,X,X,X,X,X
482,S92000003,P,4,2,4,1,2,1,2,1,1,1,6,10,2,3
484,S92000003,P,0,1,4,1,2,1,1,1,1,9,X,X,X,4
485,S92000003,P,2,2,4,1,2,2,1,1,1,1,2,11,3,1
488,S92000003,P,3,2,1,1,1,1,1,1,1,X,X,X,X,X
489,S92000003,P,0,1,6,4,2,1,1,1,1,1,2,11,4,1
491,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
492,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
495,S92000003,P,1,2,4,2,2,1,2,1,2,1,2,10,4,2
496,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
497,S92000003,P,1,1,5,2,2,1,2,1,1,1,3,11,2,1
499,S92000003,P,1,2,6,2,2,1,1,1,2,2,6,11,3,2
501,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
503,S92000003,P,1,2,2,1,2,1,2,1,2,3,X,X,X,3
506,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
508,S92000003,P,1,2,7,2,2,1,3,1,2,5,3,10,X,2
509,S92000003,P,2,1,2,1,1,1,1,1,1,6,X,X,X,4
510,S92000003,P,1,2,1,1,1,1,2,1,2,X,X,X,X,X
511,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
513,S92000003,P,1,1,8,2,2,1,3,1,2,5,5,1,X,4
514,S92000003,C,X,1,2,1,1,1,1,1,2,6,X,X,X,X
515,S92000003,C,X,2,2,1,1,1,1,1,2,6,X,X,X,X
516,S92000003,C,X,1,2,1,1,2,1,1,2,6,X,X,X,X
517,S92000003,C,X,1,1,1,1,1,1,1,2,X,X,X,X,X
518,S92000003,C,X,1,2,1,1,2,1,1,2,6,X,X,X,X
519,S92000003,C,X,1,2,1,1,1,1,1,2,6,X,X,X,X
520,S92000003,P,1,1,1,1,1,1,1,1,9,X,X,X,X,X
521,S92000003,P,1,1,7,2,2,1,2,1,2,2,5,1,4,3
524,S92000003,C,X,1,8,2,2,1,3,1,9,5,X,X,X,X
527,S92000003,P,4,2,4,3,2,1,2,1,1,1,2,11,3,2
528,S92000003,P,0,1,4,1,2,1,3,1,2,8,X,X,X,4
530,S92000003,P,0,2,8,2,2,1,2,3,2,5,X,X,X,4
533,S92000003,P,3,1,2,1,2,1,2,1,1,3,X,X,X,4
536,S92000003,P,2,1,5,4,2,1,2,1,1,1,6,11,3,4
537,S92000003,P,1,1,4,2,2,1,2,1,2,1,5,12,3,3
540,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
543,S92000003,P,1,1,3,2,2,1,1,1,2,2,5,1,4,3
544,S92000003,P,3,2,3,1,2,1,2,1,1,1,3,11,3,3
546,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
549,S92000003,P,4,2,1,1,1,1,1,5,1,X,X,X,X,X
550,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
551,S92000003,P,4,2,4,4,2,1,2,1,1,1,6,11,2,4
553,S92000003,P,0,2,7,5,2,1,2,1,2,1,4,11,1,2
555,S92000003,P,4,1,2,1,2,1,2,1,1,2,9,1,4,3
556,S92000003,P,1,2,4,2,2,1,1,1,2,1,2,10,2,2
560,S92000003,P,1,2,6,2,2,1,2,1,1,5,4,10,X,4
561,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
569,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
572,S92000003,P,0,2,3,1,2,1,3,1,9,8,X,X,X,4
579,S92000003,P,4,2,8,5,2,1,3,1,1,5,9,10,X,4
580,S92000003,P,0,2,4,1,2,1,4,1,1,8,X,X,X,4
582,S92000003,P,0,2,3,4,2,1,2,1,1,1,2,11,3,2
583,S92000003,P,1,2,3,2,2,1,2,1,1,1,6,11,2,4
586,S92000003,P,0,2,5,1,2,1,2,1,5,2,3,12,4,2
587,S92000003,P,0,1,2,1,2,1,1,1,1,8,X,X,X,4
588,S92000003,P,1,2,6,2,2,1,3,1,1,5,2,11,X,4
595,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,1
596,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
598,S92000003,P,1,2,1,1,1,1,1,3,1,X,X,X,X,X
599,S92000003,P,1,1,5,2,2,1,1,1,1,1,2,11,3,1
601,S92000003,P,1,2,6,2,2,1,1,1,2,5,2,10,X,1
604,S92000003,P,5,2,8,1,2,1,2,1,9,5,1,12,X,2
613,S92000003,P,2,2,5,4,2,1,1,1,2,1,6,11,3,3
616,S92000003,P,1,2,6,2,2,1,2,1,2,1,4,10,2,1
618,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
619,S92000003,P,1,2,7,2,2,1,2,1,8,5,3,13,X,2
620,S92000003,P,1,1,1,1,1,1,1,2,2,X,X,X,X,X
622,S92000003,P,1,2,7,2,2,1,1,1,2,5,9,1,X,4
623,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
624,S92000003,P,1,2,7,2,2,1,2,1,2,5,6,10,X,4
627,S92000003,P,4,2,8,5,2,1,4,1,2,5,X,X,X,4
629,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
630,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
632,S92000003,P,1,1,7,2,2,1,3,1,9,5,9,1,X,4
633,S92000003,P,1,2,6,2,2,1,1,1,2,1,6,11,2,3
634,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
638,S92000003,P,1,2,3,2,2,1,1,1,2,2,6,13,3,3
640,S92000003,P,1,2,6,2,2,1,2,1,2,1,6,11,2,2
642,S92000003,P,1,1,7,2,2,1,2,1,2,5,1,10,X,2
643,S92000003,P,3,2,5,1,2,1,1,1,9,1,4,11,3,4
645,S92000003,P,1,1,8,2,2,1,2,1,1,1,5,1,4,3
646,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
647,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
649,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
650,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
651,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
653,S92000003,P,1,2,5,2,2,1,2,1,2,1,3,11,2,3
655,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
658,S92000003,P,4,2,1,1,1,1,2,1,9,X,X,X,X,X
660,S92000003,P,1,1,5,2,2,1,1,1,1,3,9,1,X,4
664,S92000003,P,4,2,6,4,2,1,1,1,2,1,6,11,3,4
665,S92000003,P,2,2,2,1,2,1,1,1,1,2,6,13,3,3
668,S92000003,P,1,1,3,1,2,1,1,1,1,1,6,11,3,2
670,S92000003,P,2,2,3,1,2,1,1,1,1,1,6,11,3,3
672,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
675,S92000003,P,1,2,5,2,2,1,3,1,2,8,3,11,X,2
676,S92000003,P,1,2,5,2,2,1,2,1,2,1,4,11,3,2
680,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
681,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
682,S92000003,P,2,1,2,1,2,1,1,1,1,3,6,12,X,2
683,S92000003,P,1,2,6,2,2,1,1,1,2,1,2,10,3,3
688,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
691,S92000003,P,1,2,2,1,1,1,1,1,2,6,X,X,X,3
692,S92000003,P,1,2,5,2,2,1,2,1,1,1,4,10,2,3
694,S92000003,P,1,2,4,2,2,1,1,1,2,1,6,11,2,3
695,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
701,S92000003,P,1,2,4,2,2,1,1,1,2,1,3,11,4,4
702,S92000003,P,4,2,4,4,2,1,2,1,2,3,6,11,X,4
704,S92000003,P,1,2,1,1,2,1,2,1,2,X,X,X,X,X
705,S92000003,P,3,2,2,1,2,1,1,1,1,1,6,11,3,2
707,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
708,S92000003,P,1,1,1,1,2,1,2,1,1,X,X,X,X,X
710,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
712,S92000003,P,1,2,1,1,1,2,2,1,2,X,X,X,X,X
713,S92000003,P,1,2,7,2,2,1,4,1,2,5,X,X,X,3
714,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
715,S92000003,P,0,1,6,1,2,1,1,1,2,2,5,1,4,3
716,S92000003,P,1,2,4,2,2,1,1,1,1,1,6,13,2,1
720,S92000003,P,4,1,2,1,1,1,3,1,9,6,X,X,X,4
723,S92000003,P,4,2,5,3,2,1,2,1,2,1,2,10,3,1
724,S92000003,P,1,2,5,2,2,1,1,1,1,9,6,11,X,3
725,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,4
726,S92000003,P,1,2,3,1,2,1,1,1,2,1,2,10,3,4
729,S92000003,P,2,2,5,3,2,1,2,1,2,1,2,11,3,3
730,S92000003,P,1,1,2,1,1,1,1,1,1,6,X,X,X,3
731,S92000003,P,1,1,8,2,2,1,3,1,1,5,2,10,X,1
734,S92000003,P,1,2,3,2,2,1,1,1,2,1,4,11,3,2
735,S92000003,P,2,2,4,1,2,1,1,1,2,1,6,10,2,2
736,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
740,S92000003,P,2,2,5,4,2,1,2,1,1,7,5,11,X,3
741,S92000003,P,1,1,2,1,2,1,1,1,2,9,X,X,X,4
742,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
745,S92000003,P,1,2,7,2,2,1,4,1,5,5,2,11,X,1
746,S92000003,P,2,1,1,1,2,1,1,1,2,X,X,X,X,X
747,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,1
752,S92000003,P,1,1,4,2,2,2,3,3,6,1,6,12,3,2
753,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
